CountryCode,CountryName,CoverageType,RequestYear,DataYear,DataType,PovertyLine,HeadCount,PovGap,PovGapSqr,ReqYearPopulation,PovertyLine.extreme,HeadCount.extreme,PovGap.extreme,PovGapSqr.extreme
BLR,Belarus,N,1990,1993,Y,3.008408,0.005542698,0.0007566156,0.0002168546,10.189,1.9,0.0003762143,9.429742e-05,5.041622e-05
BLR,Belarus,N,1993,1993,Y,3.008408,0.02157206,0.002570359,0.0006010395,10.239,1.9,0.000888526,0.0001754198,7.43349e-05
BLR,Belarus,N,1996,1995,Y,3.008408,0.02004449,0.006507938,0.00444928,10.16,1.9,0.006285248,0.003362348,0.003352348
BLR,Belarus,N,1999,1999,X,3.008408,0.3066077,0.09115956,0.03902877,10.026738,1.9,0.1049009,0.02646261,0.01014001
BLR,Belarus,N,2002,2002,X,3.008408,0.09042569,0.02095291,0.007878075,9.865548,1.9,0.02061701,0.004614853,0.001593114
BLR,Belarus,N,2005,2005,X,3.008408,0.0201606,0.004112219,0.001360834,9.663915,1.9,0.003720495,0.0007001738,0.000180334
BLR,Belarus,N,2008,2008,X,3.008408,0.004368364,0.0005896845,0.0001205627,9.527985,1.9,0,0,0
BLR,Belarus,N,2010,2010,X,3.008408,0.001587835,0.0001698265,3.174462e-05,9.490583,1.9,0,0,0
BLR,Belarus,N,2011,2011,X,3.008408,0.0004223822,3.181713e-05,5.171744e-06,9.473172,1.9,0,0,0
BLR,Belarus,N,2012,2012,X,3.008408,0.0003396647,6.841723e-05,1.652687e-05,9.464495,1.9,0,0,0
BLR,Belarus,N,2013,2013,X,3.008408,0,0,0,9.465997,1.9,0,0,0
BLR,Belarus,N,2015,2015,X,3.008408,0,0,0,9.489616,1.9,0,0,0
BLZ,Belize,N,1981,1993,Y,3.915451,0.6259054,0.309002,0.191049,0.147566,1.9,0.2947233,0.1208401,0.07123723
BLZ,Belize,N,1984,1993,Y,3.915451,0.7089667,0.373579,0.2406113,0.160347,1.9,0.3813985,0.16045,0.09398268
BLZ,Belize,N,1987,1993,Y,3.915451,0.7262243,0.390144,0.2539729,0.17432,1.9,0.4077671,0.1717086,0.1007996
