cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IND-U,36331345,36435130.2,37182844,37198737.5,37039965.4,34886159.7,32950281,30023194.9,28641160.8,27632606.4,23910786,15291214.4,13025395.2,13789197.5,13701365.4,12400094.1,15246902.4,13993849.3,12901840,6747140.4,6811695.9,7122096,7138900.5
IRN,1825243.2,1502950.4,1101340.8,1135414.5,1051231.8,950683.5,804865.1,849965.8,1289356.5,1495866.4,1327292.6,936088.4,940371.9,836298,1513351.6,1666560,1605560,1712539.3,2042098.8,4016770,4104170.8,4139522.8,4155619.8
IRQ,1833357,1406616,1628516.7,6393936.5,736876,418624,310206.4,337841,343521.6,421505.4,618336.3,653576.2,563747.2,535351.4,591618.3,595897.5,372030,405715,417004,367758.3,381827.6,387769.2,393624
JAM,321231.3,312405.9,299145,247063.2,229508.9,260131.2,226872,235875,301599,371249.6,372970.8,358561,415354.2,446338,447903,488240,500315.2,494361,487032,505644,506862,516663,517548
JOR,980796.6,932842.4,1000489.6,929363.4,823203.2,724535.2,694871.4,569136.7,908460,971310.4,883386,590850,586612.8,420700,488899.5,618232.5,582489.6,425961.7,401071.5,379639,391004.7,392160,394349.5
KAZ,5428048.5,5316640,4744794.6,4015155.2,3135666.8,4276883.2,1231743.5,703384.8,753647.1,776832,524768,241381.5,196283.6,98079.9,106676.8,136667.3,246421.9,143819.5,99381.6,89246.4,88251.9,90993.6,89915.7
KEN,4179705,4767495,5616487.4,6498542.4,7313137.5,7959398.4,8270006.4,8443666.2,9227419.3,9701140.7,9932270,11106101.8,11203928.2,11533987.1,11851437.5,12862635.1,13811670,15118740,13649772.9,13602007.5,13875824.8,14303319.1,14547670.8
KGZ,2486089.2,2258165,2207576,1848425.6,1004577.2,1198715,897737.7,948549.2,650909.4,336420,480389.2,432850.2,373186.5,467224.8,236197.5,329026.5,144135.2,152334,82182.2,84564.8,85707.2,90624.4,87196.5
KIR,15019.2,16314.2,16112.4,16767.6,18558,18602.4,19893,20121.6,24735.2,28936.5,28458.9,27560,23457.8,20379.6,20009,14649.6,11730.6,11866.8,9617,7764,7686,7898.8,8152.2
LAO,232344.4,222556.5,224868.2,279000,325737.5,392422.8,433995.8,550375,498161.9,545682.4,470948.4,531422.6,445270.4,524796,540547.2,571771.2,599434.6,536981.4,501192,491654.4,519462.5,519304.5,514324.2
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1694360.5,1853821.8,1961851.5,2618903.4,2685518.1,2759784.3,2806131.2,2940029.7,3057872.4,3058708.6,3088915.2,3024345.9,2974238.4,2953314.3,2980610.8,3068550,3129214.8,3069648.4,3131315.4,3398295.6,3616694.4,3647227.2,3711196
LCA,23754.1,69991.8,50064,33407.5,12036.6,15842.4,9926.8,10504.3,33901.4,13457.7,12767.4,26082.6,24710,15610,14726.4,17523,14880.8,13478.7,13554,14027.5,19204.1,16959.7,16305.3
LKA,1098747,1359844.7,1357000.8,1101019.5,1079076.1,1157832.5,1040543,1046020.8,1097030,967615,876593.2,834946.5,935419.2,860123.2,886789,774703.6,578184.4,611696.1,467185,355204.2,354211.2,359482,356227.2
LSO,458967.6,429442.2,509165.4,495803,462373.6,407355,368821.6,351606.8,315000,323604,274922.7,243758.4,216106,204175.2,192067,204790.8,191527.6,181319.6,187150.1,202154.4,204568.2,206417.8,202861.2
MAR,302925,306411,301032.6,259642.8,247467.8,238063.8,209909.2,184233.4,173783.5,150353,132876.9,108434.7,83332.5,77795.2,54908.8,55686.4,56443.2,50036,47049.6,47625.5,48192.3,48747.4,49288.2
MDA,4024978.1,3902607.8,3720453.9,3538690.4,3576511,3687674.7,2559952,2209305.6,2353708.8,2107392,2023300.5,1914966.9,1921298.4,1713090.4,1821732,1692675.8,1827000,1818493.9,1762684.2,1804231,1777965,1804252.5,1720520.1
MDG,8481069.3,8784192.2,10072412,9430878.2,9775627.3,10351236.5,9984272.8,10760052.1,11192320.9,12719869.6,13458381.3,14812012.8,14943438.9,15360909,15670172.7,15914467.8,16223419.8,16598136.1,17241659.5,17371377,17827465.8,18309186.6,18795179.2
MEX,17078620.1,15686797.4,14557522.5,14229842.7,12967794,13971193.6,10722960.8,12313143.6,14378116.5,15985892,13409561.7,13349989,14789469.6,15439536,15689238.6,15585305.8,15062474,14505117.2,13768922.7,13881207.2,14056350,14540241.6,14480740.2
MKD,344152.8,281321.1,135234,137551,70966.5,110004,154518.7,98548.2,79579.5,351316.2,344407.3,305620,276256.8,224415.6,192537.9,198848,178549.8,172472.4,125100,120837.3,120686.4,120953.1,120744.2
