cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CPV,52504.5,46309.2,42985.2,38962,34772.4,30970,27792,23035.1,17170.8,16599.8,14536.7,14325.6,13107,11804,10381.9,9700.6,9234,7931.5,6869.6,5824,5896.8,6773.2,6343.8,6115.2
CRI,447450,350848.8,325852.6,331730.4,324492.5,286315.2,286979.4,218500,268901,281909.2,187749.8,225860,210406,202828.6,200311.8,214392.2,198165.6,157482.6,197624.7,171465.7,173009.2,175536,176950.5,177331
CUB,2316495.01829994,2319496.5212565,2319709.34629359,2274274.74132257,2084351.41827643,1938620.96417796,1607486.29551336,1592369.84218667,1597945.98012868,1537057.31476757,1390592.64914314,1309066.166044,1243979.34203928,1190421.87290653,1157112.92586753,1171524.28940804,1239409.23519616,1186215.38852414,1150018.06735187,1175182.89184828,1175781.90797988,1192524.39509121,1180623.44087128,1173687.57478901
CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,2838545.72182621,2598887.61831591,2325012.3674802,2309051.50597246,1980191.51696516,1830657.9371296,1514653.8202978,1321768.91149307,1190934.49275194,1157917.03031268,1110210.34151258,1055826.99196734,1013801.51765887,922847.095662618,985431.377739083,994145.862893144,922787.4287282,947413.479982226,875520.770904838,929926.654580438,932336.376453618,940402.609001101,925109.632843891,915643.610493152
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,152004,158401.3,159867.8,166828.2,174636,177506.1,186099.5,196667.9,236612.5,258633,258533.8,262571.2,262185.6,291289.6,284635.2,292932,299591.1,298966.8,309582,303885.2,305100,305112.6,303876.8,288877.5
DMA,14333.9750930586,14513.6995162202,14474.9201498085,14157.3349837777,13135.8912389159,12197.9872790354,9961.40586808914,10001.6152508186,10031.31428728,9642.25740842,8834.61314200176,8300.55164730677,7869.1365864372,7509.89002446946,7282.52890406138,7461.93814909578,7884.00785720805,7643.00729218865,7407.2014086551,7669.57160534469,7670.81098629879,7881.71615157251,7697.04086103493,7751.15186687213
DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,959912.3,847087.8,1042176,1266281.6,2052726.5,1352296.8,1032684.2,992217.6,1112109.8,1037361.6,970004,826224.8,888562.5,798911.4,660781,630687.1,577175.8,352080.9,243779.2,266103.2,268813.6,271475.6,274040.8,270891
DZA,2173524.8,2037684,1590151.5,1432212.6,1214747,862159.2,803916.4,727160,617039.7,524882,408133.4,294552,293014.8,268373,258152.4,243213.1,215217.1,218990.7,205839.2,196323.4,199331.8,202257.4,205091,194269.7
ECU,3329004.4,3125606.4,2664073.6,2650026,2801766.6,2306106.5,1734825.6,1802614.5,1882574.4,1811400.3,1604019,1452438.9,1364670,1091571.7,974915.2,1155910.4,1182997,1095587.5,1160174.4,1222721.5,1246458.4,1294761.6,1283380,1287199.2
EGY,775956.6,954441.8,1335656,1827355.4,2321765.6,1811960.8,2047765.8,2513369.2,3092442.8,2968740,3313855.2,3350022,3240299.7,3520473.6,4039772,4173121,6257995.2,10672298.2,12471688,9995398.4,10170570.8,10092308.8,10120161.6,10227868.2
