cc,type,2020,2021,2022,2023
CHL,fpl_2019eq_fo_2021,,167445,,
CHL,fpl_2019eq_fo_2022,,,183593.2,
CHL,fpl_2019eq_fo_2023,,,,198019.5
CHL,fpl_2019eq_gr_2020,181035.4,,,
CHL,fpl_2019eq_gr_2021,,135816.5,,
CHL,fpl_2019eq_gr_2022,,,131138,
CHL,fpl_2019eq_gr_2023,,,,137670.7
CHN-R,fpl_2019eq_fo_2020,219788.8,,,
CHN-R,fpl_2019eq_fo_2021,,214201.2,,
CHN-R,fpl_2019eq_fo_2022,,,208707.6,
CHN-R,fpl_2019eq_fo_2023,,,,203320
CHN-R,fpl_2019eq_gr_2020,219788.8,,,
CHN-R,fpl_2019eq_gr_2021,,160650.9,,
CHN-R,fpl_2019eq_gr_2022,,,156530.7,
CHN-R,fpl_2019eq_gr_2023,,,,152490
CHN-U,fpl_2019eq_fo_2020,262522.8,,,
CHN-U,fpl_2019eq_fo_2021,,178595.4,,
CHN-U,fpl_2019eq_fo_2022,,,182016.2,
CHN-U,fpl_2019eq_fo_2023,,,,277912.8
CHN-U,fpl_2019eq_gr_2020,262522.8,,,
CHN-U,fpl_2019eq_gr_2021,,178595.4,,
CHN-U,fpl_2019eq_gr_2022,,,182016.2,
CHN-U,fpl_2019eq_gr_2023,,,,185275.2
CIV,fpl_2019eq_fo_2020,607167.2,,,
CIV,fpl_2019eq_fo_2021,,727038.8,,
CIV,fpl_2019eq_fo_2022,,,833189.4,
CIV,fpl_2019eq_fo_2023,,,,853944.9
CIV,fpl_2019eq_gr_2020,497249,,,
CIV,fpl_2019eq_gr_2021,,509732,,
CIV,fpl_2019eq_gr_2022,,,514212.6,
CIV,fpl_2019eq_gr_2023,,,,439654.8
CMR,fpl_2019eq_fo_2020,7227211.22804215,,,
CMR,fpl_2019eq_fo_2021,,7422505.96700795,,
CMR,fpl_2019eq_fo_2022,,,7879480.22285301,
CMR,fpl_2019eq_fo_2023,,,,8198837.59575374
CMR,fpl_2019eq_gr_2020,7323865.99106753,,,
CMR,fpl_2019eq_gr_2021,,6919780.3280105,,
CMR,fpl_2019eq_gr_2022,,,6989168.41648592,
CMR,fpl_2019eq_gr_2023,,,,7150080.29071685
COD,fpl_2019eq_fo_2020,40474161,,,
COD,fpl_2019eq_fo_2021,,41754339.2,,
COD,fpl_2019eq_fo_2022,,,43058936.2,
COD,fpl_2019eq_fo_2023,,,,44387952
COD,fpl_2019eq_gr_2020,42801291,,,
COD,fpl_2019eq_gr_2021,,43591825.6,,
COD,fpl_2019eq_gr_2022,,,44553905.9,
COD,fpl_2019eq_gr_2023,,,,44387952
COG,fpl_2019eq_fo_2020,2325414.3,,,
COG,fpl_2019eq_fo_2021,,2412359,,
COG,fpl_2019eq_fo_2022,,,2530633.6,
COG,fpl_2019eq_fo_2023,,,,2648115.5
COG,fpl_2019eq_gr_2020,2521047.1,,,
COG,fpl_2019eq_gr_2021,,2452030.2,,
COG,fpl_2019eq_gr_2022,,,2427110.4,
COG,fpl_2019eq_gr_2023,,,,2444367.1
COL,fpl_2019eq_fo_2020,4163238,,,
COL,fpl_2019eq_fo_2021,,4642876.8,,
COL,fpl_2019eq_fo_2022,,,5799560.2,
COL,fpl_2019eq_fo_2023,,,,6395126.4
COL,fpl_2019eq_gr_2020,4454514,,,
COL,fpl_2019eq_gr_2021,,3545377.6,,
COL,fpl_2019eq_gr_2022,,,3105998,
COL,fpl_2019eq_gr_2023,,,,3079704.3
COM,fpl_2019eq_fo_2020,217771.4,,,
COM,fpl_2019eq_fo_2021,,218359.2,,
COM,fpl_2019eq_fo_2022,,,225570.9,
COM,fpl_2019eq_fo_2023,,,,230296.2
COM,fpl_2019eq_gr_2020,216120.3,,,
COM,fpl_2019eq_gr_2021,,221556,,
COM,fpl_2019eq_gr_2022,,,229652.4,
COM,fpl_2019eq_gr_2023,,,,237056
CPV,fpl_2019eq_fo_2020,5953.5,,,
CPV,fpl_2019eq_fo_2021,,5969.6,,
CPV,fpl_2019eq_fo_2022,,,7216.8,
CPV,fpl_2019eq_fo_2023,,,,9643.2
CPV,fpl_2019eq_gr_2020,15422.4,,,
CPV,fpl_2019eq_gr_2021,,12857.6,,
CPV,fpl_2019eq_gr_2022,,,5179.8,
CPV,fpl_2019eq_gr_2023,,,,4704
CRI,fpl_2019eq_fo_2020,173009.2,,,
CRI,fpl_2019eq_fo_2021,,175027.2,,
CRI,fpl_2019eq_fo_2022,,,200543.9,
CRI,fpl_2019eq_fo_2023,,,,219208
CRI,fpl_2019eq_gr_2020,201255.6,,,
CRI,fpl_2019eq_gr_2021,,203520,,
CRI,fpl_2019eq_gr_2022,,,174386,
CRI,fpl_2019eq_gr_2023,,,,161304
CUB,fpl_2019eq_fo_2020,1218721.03517423,,,
CUB,fpl_2019eq_fo_2021,,1265172.18158439,,
CUB,fpl_2019eq_fo_2022,,,1358964.3309956,
CUB,fpl_2019eq_fo_2023,,,,1408240.58363497
CUB,fpl_2019eq_gr_2020,1331560.46355099,,,
CUB,fpl_2019eq_gr_2021,,1203747.98658913,,
CUB,fpl_2019eq_gr_2022,,,1121470.51388903,
CUB,fpl_2019eq_gr_2023,,,,1102406.66522995
CZE,fpl_2019eq_fo_2020,967674.004484328,,,
CZE,fpl_2019eq_fo_2021,,1022866.1659788,,
CZE,fpl_2019eq_fo_2022,,,1102618.5090181,
CZE,fpl_2019eq_fo_2023,,,,1163134.6122992
CZE,fpl_2019eq_gr_2020,958743.460902472,,,
CZE,fpl_2019eq_gr_2021,,791651.437709522,,
CZE,fpl_2019eq_gr_2022,,,693006.737781684,
CZE,fpl_2019eq_gr_2023,,,,654962.6112527
DJI,fpl_2019eq_fo_2020,320500,,,
DJI,fpl_2019eq_fo_2021,,329651.4,,
DJI,fpl_2019eq_fo_2022,,,362164.4,
DJI,fpl_2019eq_fo_2023,,,,365599.2
DJI,fpl_2019eq_gr_2020,263400,,,
DJI,fpl_2019eq_gr_2021,,252283.2,,
DJI,fpl_2019eq_gr_2022,,,248981.6,
DJI,fpl_2019eq_gr_2023,,,,240158.7
DMA,fpl_2019eq_fo_2020,7950.94621068784,,,
DMA,fpl_2019eq_fo_2021,,8361.86501438502,,
DMA,fpl_2019eq_fo_2022,,,8859.72920937673,
DMA,fpl_2019eq_fo_2023,,,,9300.1637431576
DMA,fpl_2019eq_gr_2020,8687.11158370951,,,
DMA,fpl_2019eq_gr_2021,,7955.89590231965,,
DMA,fpl_2019eq_gr_2022,,,7311.39504013188,
DMA,fpl_2019eq_gr_2023,,,,7280.40550551583
DOM,fpl_2019eq_fo_2020,299916,,,
DOM,fpl_2019eq_fo_2021,,308495,,
DOM,fpl_2019eq_fo_2022,,,332925.6,
DOM,fpl_2019eq_fo_2023,,,,354330
DOM,fpl_2019eq_gr_2020,313245.6,,,
DOM,fpl_2019eq_gr_2021,,268110.2,,
DOM,fpl_2019eq_gr_2022,,,244598.4,
DOM,fpl_2019eq_gr_2023,,,,219456
DZA,fpl_2019eq_fo_2020,181998.6,,,
DZA,fpl_2019eq_fo_2021,,202257.4,,
DZA,fpl_2019eq_fo_2022,,,231842,
DZA,fpl_2019eq_fo_2023,,,,257520.3
DZA,fpl_2019eq_gr_2020,229664.9,,,
DZA,fpl_2019eq_gr_2021,,215448.1,,
DZA,fpl_2019eq_gr_2022,,,209549.5,
DZA,fpl_2019eq_gr_2023,,,,198787.6
ECU,fpl_2019eq_fo_2020,1277663.2,,,
ECU,fpl_2019eq_fo_2021,,1261382.4,,
ECU,fpl_2019eq_fo_2022,,,1342120,
ECU,fpl_2019eq_fo_2023,,,,1402578.4
ECU,fpl_2019eq_gr_2020,1513432.8,,,
ECU,fpl_2019eq_gr_2021,,1294761.6,,
ECU,fpl_2019eq_gr_2022,,,1233540,
ECU,fpl_2019eq_gr_2023,,,,1249340.4
EGY,fpl_2019eq_fo_2020,8255868.2,,,
EGY,fpl_2019eq_fo_2021,,8207852.8,,
EGY,fpl_2019eq_fo_2022,,,11801534.4,
EGY,fpl_2019eq_fo_2023,,,,21115250.1
EGY,fpl_2019eq_gr_2020,8204397.7,,,
EGY,fpl_2019eq_gr_2021,,6909672,,
EGY,fpl_2019eq_gr_2022,,,6651000,
EGY,fpl_2019eq_gr_2023,,,,6173480.7
ERI,fpl_2019eq_fo_2020,1512316.01335664,,,
ERI,fpl_2019eq_fo_2021,,1549318.77829366,,
ERI,fpl_2019eq_fo_2022,,,1640366.88242173,
ERI,fpl_2019eq_fo_2023,,,,1701883.48004575
