cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,142995,144517.5,169432.5,196970,141630.8,93094.8,88468.2,83784,76834.8,78260.4,77420,87668.1,95852.4,106490,117375,119000,120630,122255,123860,125440,126990,128505,129985,131435
AUT,0,8906.7,18710.5,26977.5,6573.6,12379.5,7456.5,30754.4,39188.6,55242,41209,35532,52811.6,29165.2,18992.6,59017.2,57499.2,27955.2,49886.4,56108.8,57083,56326.4,56454.4,56582.4
AZE,601914.3,504996.8,6621.6,4180.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,5044628.1,5081555.6,5086084.5,5284280,5324734.8,5501927.6,5513720,5658919.2,5805884,5965220.3,6084298,6198976.5,6547529.4,6402240,6416940.4,6978155.8,7312075.2,7649342.4,7975287,8318513.6,8736498,8998147.2,9271762.5,9541428.8
BEL,31874.2,30957,31095,30215.1,5240,20039.3,18052.3,16047,12936,11946,15314.6,18723.8,17734.4,15612.8,8975.2,7901.6,6814.8,17143.5,9199.2,9250.4,9296,9335.2,9368.8,9399.2
BEN,3810630,3838564.8,3890956.8,3992368,4032325,4315867.4,4465939.5,4365316.5,4519830.9,4729221.5,4950901.8,5172328.7,5215716.9,5261103.6,5134241.7,5363089.6,5280530.4,4271467.2,2899066.4,2281133.3,2323979.1,2250960,2190663.4,2123804.2
BFA,8608492.8,7945148.8,7731067.7,6921738,7092773.3,7254591,7423407.2,7602016.8,7665242,7971736.5,7697946.5,7499036.6,7239869.9,7047734.4,6964056,7260699.9,6878878.3,6593139,6336441.6,6236514.9,6469478.5,6236279.7,6551329.2,6581694.3
BGD,43843122.4,44000506.7,43917221.5,41969836.1,38421373.3,34380410.7,32475211.2,30899190,30014170.2,29082951.5,27721547.8,26349734.4,25461364.5,24659861.5,23591940,22761581.2,21949634.4,20748420,19664697.6,18907425,17792420,13720000,10549646.1,8764894.8
BGR,234312.1,203801,117203.4,72577.2,57298.2,59927.4,444537.5,37835,93875,97673.6,148840.5,180957.6,168884.1,129334.8,119885.2,245487.6,140500.4,97064.5,61221.9,64298.8,63848,54446.8,49276.8,46199.2
BHR,3345.71349291414,3472.39171074717,3669.4644836911,4548.91344195057,4610.18992636622,4907.53283478406,5048.20048183785,5292.69168537672,5798.2930868716,6301.88744531299,6510.89201386743,7254.90055925397,7783.78131902422,8633.66874684607,9321.35529094858,10368.2858866733,9279.46233985124,10695.9880811469,9968.92807332172,9986.71288635452,10479.8248251,10709.6157788184,10819.5783989548,10992.8907278588
BHS,1501.54009169942,1509.51892160171,1542.67282375585,1841.78372006996,1788.53151360232,1821.69385318193,1768.71257757822,1752.31008502337,1814.8917375051,1887.90720935537,1888.73579773753,2076.0700583948,2227.35896205924,2479.88357622174,2665.23781522632,2924.58209777155,2546.15422798725,2838.88155504972,2544.71680237951,2457.04840854754,2511.94858881961,2517.74224158,2515.05079009953,2535.41782827273
BIH,12427.8,12444.3,12460.8,9072,6805.8,5294.8,3780,2641.8,2258.4,2622.9,2605.4,2581.6,2553.6,2163,2139.6,2121.6,2110.2,2104.2,2101.8,2101.2,2098.8,2095.2,2091,2085
BLR,1354997.6,653592.6,430527.3,341874,125788,85635.8,38300,20981.4,16161.9,13280.4,2841.9,946.8,947.2,0,0,0,0,0,0,0,0,0,0,0
BLZ,44929.3,44242.5,42103.4,43228.3,44794.8,50204.2,53602.2,55100.2,56979.2,63553.6,64970.4,66589.6,67368,63846.4,64654.2,65553.4,67601.4,69600,71084.8,71214,83978,79218,76838.4,77548.2
BMU,322.478408955579,318.842280470328,324.510464544111,380.050608903325,361.038970137114,358.818486232805,342.16165935293,332.070424275566,338.017085781753,340.355102531672,335.775252931116,363.028644090895,377.214017768097,413.313929370291,432.577865298512,468.537700418181,403.738010575984,437.302461762709,388.069312362875,371.910553154839,376.483695130212,368.450084133659,364.500114507179,364.808320614782
